deu	Wenn wir wüssten, was wir tun, würde man es nicht Forschung nennen, oder?
deu	Für den, der nur einen Hammer im Werkzeugkasten hat, sieht jedes Problem wie ein Nagel aus.
deu	Nichts ist unmöglich für den, der es nicht selbst machen muss.
deu	Es ist nicht die stärkste Spezies, die überlebt, auch nicht die intelligenteste, sondern die reaktionsfähigste gegenüber Veränderungen.
deu	Ich denke, es ist gut, dass Bücher noch existieren, aber sie machen mich schläfrig.
deu	Ich verstehe nicht, wieso neue Ideen den Menschen Angst machen. Mir machen die alten Angst.
deu	Hoffnung ist keine Strategie.
deu	Japan ist voll von wunderschönen Städten. Kyoto und Nara zum Beispiel.
deu	Wenden Sie sich an meinen Kollegen.
deu	Die Akte wurde ans Ministerium geschickt.
deu	Sie sind nur in ihrem Reden mutig.
deu	Sie warten vor der Tür auf dich.
deu	Hast du einen Bleistift dabei?
deu	Wem gehört das?
deu	Seit Mario mich angelogen hat, spreche ich nicht mehr mit ihm.
deu	Das ist nicht seine Sache.
deu	Nimm deine Sachen und geh.
deu	Er hat sich aus der Affäre gezogen.
deu	Man muss den Worten Taten folgen lassen.
deu	Das lasse ich mir nicht zweimal sagen.
deu	Hände runter!
deu	Hacker finden neue Mittel und Wege, um in private und öffentliche Netze einzudringen.
deu	Das Flugzeug wurde wegen Nebel nach München umgeleitet.
deu	Wer zuletzt lacht, lacht am besten.
deu	Je eher, desto besser.
deu	Das ist nicht ganz richtig.
deu	Man sieht ihm sein Alter nicht an.
deu	Magst du Rap?
deu	Ich liebe Reisen.
deu	Das habe ich wirklich nicht von dir erwartet.
deu	Ich warte seit Stunden.
deu	Er starb in hohem Alter.
deu	Er ist ein alter Hase.
deu	Wir sind, was wir vorgeben zu sein, also müssen wir vorsichtig sein mit dem, was wir vorgeben zu sein.
deu	Ich kenne ihn nicht.
deu	Der Film hat mir gefallen.
deu	Sie schwimmt im Geld.
deu	Das ist nicht wichtig.
deu	Ich wollte gerade gehen, als das Telefon klingelte.
deu	Schau gut hin. Ich werde dir zeigen, wie man es macht.
deu	Ich gehe jeden Morgen einkaufen.
deu	Die Leute müssen verstehen, dass sich die Welt ändert.
deu	Zweiundfünfzig Prozent der britischen Frauen ziehen Schokolade dem Sex vor.
deu	Fast die Hälfte der Männer in Großbritannien schenkt ihrer Partnerin regelmäßig Schokolade, besonders zu deren Geburtstag.
deu	Der Fluss hat die ganze Region überschwemmt.
deu	Das Problem hat sich von selbst gelöst.
deu	Mir gefallen diese Anmerkungen nicht.
deu	Das sind ganz und gar gegensätzliche Meinungen.
deu	Wie alt sind Sie?
deu	Ich bin überhaupt nicht überzeugt.
deu	Wieso wollen Sie heute abfahren?
deu	Ich werde das Auto nehmen.
deu	Das ist zu schön, um wahr zu sein.
deu	Wenn Sie jemandem 20$ leihen und sie diesen Menschen nie wiedersehen, dann war es das wahrscheinlich wert.
deu	Man kann nicht das Unmögliche vollbringen, ohne das Absurde zu versuchen.
deu	Man darf sich nur auf sich selbst verlassen. Und auch das nicht zu sehr.
deu	Während des Unterrichts still zu sein, bedeutet, den Schlaf der anderen zu respektieren.
deu	Coles Axiom: Die Summe der Intelligenz auf der Erde ist eine Konstante; die Bevölkerung wächst ständig.
deu	Wenn Sie einen Mann auf sich zukommen sehen in der offenkundigen Absicht, Ihnen etwas Gutes zu tun, dann sollten Sie um Ihr Leben rennen.
deu	Wir lernen aus der Erfahrung, dass die Menschen nie etwas aus der Erfahrung lernen.
deu	Wie der Vater, so der Sohn.
deu	Solange es Leben gibt, gibt es Hoffnung.
deu	Ich habe es nicht mit Absicht gemacht.
deu	Alle Wege führen nach Rom.
deu	Morgenstund hat Gold im Mund.
deu	Im Leben gibt es Höhen und Tiefen.
deu	Über Geschmack lässt sich nicht streiten.
deu	Man kann nicht auf zwei Hochzeiten gleichzeitig tanzen.
deu	Nachts sind alle Katzen grau.
deu	Bring mir bei, wie man es macht.
deu	Wer auf die Jagd geht, verliert seine Stelle.
deu	Kindermund tut Wahrheit kund.
deu	Keine Nachricht, gute Nachricht.
deu	Wenn Sie denken, dass Bildung teuer ist, dann warten Sie erstmal bis Sie sehen, was Unwissenheit kostet.
deu	Der Staat konnte die Erwartungen der Bürger nicht erfüllen.
deu	Das habe ich erwartet!
deu	Ich erwarte nichts von dir.
deu	Warten Sie im Wartezimmer.
deu	Mehr Leute kriegen Schwierigkeiten wegen dem, was sie sagen, als wegen dem, was sie tun.
deu	Warum misst du diesem Zwischenfall Wert bei?
deu	Leute, die für dich lügen würden, würden dich anlügen.
deu	Es gibt keine Lösung.
deu	Ich wusste nicht, dass er so viel trinkt.
deu	Das geschieht dir recht.
deu	Willst du einen Fruchtsaft?
deu	Er ist ein guter Mensch.
deu	Mach's, wie du es für richtig hältst.
deu	Guten Appetit!
deu	Keine Liebe ohne Eifersucht.
deu	Keine Liebe ist hässlich, kein Gefängnis schön.
deu	Keine lebende Seele war da.
deu	Wir sind aus dem gleichen Holz geschnitzt.
deu	Die Wände haben Ohren.
deu	Ich habe einen Frosch im Hals.
